word1,word2,POS,SimLex999,conc_word1,conc_word2,concQ,assoc_usf,SimAssoc333,sd_simLex,stim,stimulusID,list
wealth,fame,N,4.02,2.63,1.96,1,0.2,0,1.1,wealth / fame,501,2
sorrow,shame,N,4.77,2.36,2.24,1,0.2,0,1.52,sorrow / shame,502,2
administration,management,N,7.25,2.78,2.72,2,0.2,0,1.67,administration / management,503,2
communication,conversation,N,8.02,2.9,3.28,2,0.2,0,0.88,communication / conversation,504,2
pollution,atmosphere,N,4.25,3.75,3.04,2,0.2,0,0.98,pollution / atmosphere,505,2
anatomy,biology,N,5.33,3.59,3.48,2,0.2,0,1.37,anatomy / biology,506,2
college,profession,N,3.12,4.62,2.83,3,0.2,0,1.41,college / profession,507,2
book,topic,N,2.07,4.9,2.59,3,0.2,0,1.22,book / topic,508,2
formula,equation,N,7.95,4.11,3.65,3,0.2,0,0.56,formula / equation,509,2
book,information,N,5,4.9,2.87,3,0.2,0,1.13,book / information,510,2
boy,partner,N,1.9,4.76,3.53,3,0.2,0,1.54,boy / partner,511,2
sky,universe,N,4.68,4.45,3.85,3,0.2,0,1.39,sky / universe,512,2
population,people,N,7.68,3.64,4.82,3,0.2,0,0.8,population / people,513,2
college,class,N,4.13,4.62,3.85,3,0.2,0,1.16,college / class,514,2
chief,mayor,N,4.85,4.26,4.37,3,0.2,0,1.25,chief / mayor,515,2
rabbi,minister,N,7.62,4.64,4.22,3,0.2,0,1.35,rabbi / minister,516,2
meter,inch,N,5.08,4.7,4.37,3,0.2,0,1.19,meter / inch,517,2
polyester,cotton,N,5.63,4.12,4.97,3,0.2,0,1.53,polyester / cotton,518,2
lawyer,banker,N,1.88,4.7,4.43,3,0.2,0,1.18,lawyer / banker,519,2
violin,instrument,N,6.58,4.96,4.27,3,0.2,0,1.39,violin / instrument,520,2
camp,cabin,N,4.2,4.35,4.92,3,0.2,0,1.2,camp / cabin,521,2
pot,appliance,N,2.53,4.81,4.57,3,0.2,0,1.26,pot / appliance,522,2
linen,fabric,N,7.47,4.8,4.63,3,0.2,0,1.26,linen / fabric,523,2
whiskey,champagne,N,5.33,4.74,4.82,4,0.2,0,1.29,whiskey / champagne,524,2
girl,child,N,5.38,4.85,4.78,4,0.2,0,1.21,girl / child,525,2
cottage,cabin,N,7.72,4.85,4.92,4,0.2,0,1.47,cottage / cabin,526,2
bird,hen,N,7.03,5,4.9,4,0.2,0,1.43,bird / hen,527,2
racket,noise,N,8.1,4.26,3.52,3,0.19,0,1.49,racket / noise,528,2
sunset,evening,N,5.98,4.54,3.26,3,0.19,0,1.35,sunset / evening,529,2
drizzle,rain,N,9.17,4.21,4.97,3,0.19,0,0.39,drizzle / rain,530,2
adult,baby,N,2.22,4.4,5,3,0.19,0,0.39,adult / baby,531,2
charcoal,coal,N,7.63,4.85,4.66,4,0.19,0,1.43,charcoal / coal,532,2
body,spine,N,4.78,4.79,4.88,4,0.19,0,1.22,body / spine,533,2
head,nail,N,2.47,4.75,4.93,4,0.19,0,1.4,head / nail,534,2
log,timber,N,8.05,4.96,4.9,4,0.19,0,1.12,log / timber,535,2
spoon,cup,N,2.02,4.96,5,4,0.19,0,0.9,spoon / cup,536,2
body,nerve,N,3.13,4.79,3.89,3,0.18,0,1.12,body / nerve,537,2
man,husband,N,5.32,4.79,4.11,3,0.18,0,1.71,man / husband,538,2
